---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

94,52964e4bbdf9203d66ccf819,f000025/008,INVALID
95,52964e4bbdf9203d66ccf81a,f000025/009,INVALID
96,52964e4bbdf9203d66ccf81b,f000026/001,INVALID
97,52964e4bbdf9203d66ccf81c,f000026/002,INVALID
98,52964e4bbdf9203d66ccf81d,f000026/003,INVALID
99,52964e4bbdf9203d66ccf81e,f000026/004,INVALID
100,52964e4bbdf9203d66ccf81f,f000026/005,INVALID
101,52964e4bbdf9203d66ccf820,f000026/006,INVALID
102,52964e4bbdf9203d66ccf821,f000027/000,INVALID
103,52964e4bbdf9203d66ccf822,f000028/000,INVALID
104,52964e4bbdf9203d66ccf823,f000029/001,INVALID
105,52964e4bbdf9203d66ccf824,f000029/002,INVALID
106,52964e4bbdf9203d66ccf825,f000029/003,INVALID
107,52964e4bbdf9203d66ccf826,f000029/004,INVALID
108,52964e4bbdf9203d66ccf827,f000029/005,INVALID
109,52964e4bbdf9203d66ccf828,f000029/006,INVALID
110,52964e4bbdf9203d66ccf829,f000029/007,INVALID
111,52964e4bbdf9203d66ccf82a,f000029/008,INVALID
112,52964e4bbdf9203d66ccf82b,f000029/009,INVALID
113,52964e4bbdf9203d66ccf82c,f000029/010,INVALID
114,52964e4bbdf9203d66ccf82d,f000029/011,INVALID
115,52964e4bbdf9203d66ccf82e,f000030/000,INVALID
116,52964e4bbdf9203d66ccf82f,f000031/000,INVALID
117,52964e4bbdf9203d66ccf830,f000032/000,INVALID
118,52964e4bbdf9203d66ccf831,f000033/000,INVALID
119,52964e4bbdf9203d66ccf832,f000034/000,INVALID
120,52964e4bbdf9203d66ccf833,f000035/000,INVALID
121,52964e4bbdf9203d66ccf834,f000036/000,INVALID
122,52964e4bbdf9203d66ccf835,f000037/000,INVALID
123,52964e4bbdf9203d66ccf836,f000038/000,INVALID
124,52964e4bbdf9203d66ccf837,f000039/000,INVALID
125,52964e4bbdf9203d66ccf838,f000040/001,INVALID
126,52964e4bbdf9203d66ccf839,f000040/002,INVALID
127,52964e4bbdf9203d66ccf83a,f000040/003,INVALID
128,52964e4bbdf9203d66ccf83b,f000041/001,INVALID
129,52964e4bbdf9203d66ccf83c,f000041/002,INVALID
130,52964e4bbdf9203d66ccf83d,f000041/003,INVALID
131,52964e4bbdf9203d66ccf83e,f000042/001,INVALID
132,52964e4bbdf9203d66ccf83f,f000042/002,INVALID
133,52964e4bbdf9203d66ccf840,f000042/003,INVALID
134,52964e4bbdf9203d66ccf841,f000042/004,INVALID
135,52964e4bbdf9203d66ccf842,f000042/005,INVALID
136,52964e4bbdf9203d66ccf843,f000042/006,INVALID
137,52964e4bbdf9203d66ccf844,f000042/007,INVALID
138,52964e4bbdf9203d66ccf845,f000042/008,INVALID
139,52964e4bbdf9203d66ccf846,f000042/009,INVALID
140,52964e4bbdf9203d66ccf847,f000042/010,INVALID
141,52964e4bbdf9203d66ccf848,f000042/011,INVALID
142,52964e4bbdf9203d66ccf849,f000043/001,INVALID
143,52964e4bbdf9203d66ccf84a,f000043/002,INVALID
144,52964e4bbdf9203d66ccf84b,f000045/000,INVALID
145,52964e4bbdf9203d66ccf84c,f000047/000,INVALID
146,52964e4bbdf9203d66ccf84d,f000048/001,INVALID
147,52964e4bbdf9203d66ccf84e,f000048/002,INVALID
148,52964e4bbdf9203d66ccf84f,f000048/003,INVALID
149,52964e4bbdf9203d66ccf850,f000048/004,INVALID
150,52964e4bbdf9203d66ccf851,f000048/005,INVALID
151,52964e4bbdf9203d66ccf852,f000048/006,INVALID
152,52964e4bbdf9203d66ccf853,f000048/007,INVALID
153,52964e4bbdf9203d66ccf854,f000048/008,INVALID
154,52964e4bbdf9203d66ccf855,f000048/009,INVALID
155,52964e4bbdf9203d66ccf856,f000049/000,INVALID
156,52964e4bbdf9203d66ccf857,f000050/000,INVALID
157,52964e4bbdf9203d66ccf858,f000051/000,INVALID
158,52964e4bbdf9203d66ccf859,f000052/000,INVALID
159,52964e4bbdf9203d66ccf85a,f000053/000,INVALID
160,52964e4bbdf9203d66ccf85b,f000054/000,INVALID
161,52964e4bbdf9203d66ccf85c,f000055/000,INVALID
162,52964e4bbdf9203d66ccf85d,f000056/000,INVALID
163,52964e4bbdf9203d66ccf85e,f000057/001,INVALID
164,52964e4bbdf9203d66ccf85f,f000057/002,INVALID
165,52964e4bbdf9203d66ccf860,f000057/003,INVALID
166,52964e4bbdf9203d66ccf861,f000059/001,INVALID
167,52964e4bbdf9203d66ccf862,f000059/002,INVALID
168,52964e4bbdf9203d66ccf863,f000059/003,INVALID
169,52964e4bbdf9203d66ccf864,f000059/004,INVALID
170,52964e4bbdf9203d66ccf865,f000059/005,INVALID
171,52964e4bbdf9203d66ccf866,f000059/006,INVALID
172,52964e4bbdf9203d66ccf867,f000059/007,INVALID
173,52964e4bbdf9203d66ccf868,f000059/008,INVALID
174,52964e4bbdf9203d66ccf869,f000059/009,INVALID
175,52964e4bbdf9203d66ccf86a,f000059/010,INVALID
176,52964e4bbdf9203d66ccf86b,f000059/011,INVALID
177,52964e4bbdf9203d66ccf86c,f000059/012,INVALID
178,52964e4bbdf9203d66ccf86d,f000059/013,INVALID
179,52964e4bbdf9203d66ccf86e,f000059/014,INVALID
180,52964e4bbdf9203d66ccf86f,f000059/015,INVALID
181,52964e4bbdf9203d66ccf870,f000060/001,INVALID
182,52964e4bbdf9203d66ccf871,f000060/002,INVALID
183,52964e4bbdf9203d66ccf872,f000060/003,INVALID
184,52964e4bbdf9203d66ccf873,f000060/004,INVALID
185,52964e4bbdf9203d66ccf874,f000060/005,INVALID
186,52964e4bbdf9203d66ccf875,f000060/006,INVALID
187,52964e4bbdf9203d66ccf876,f000060/007,INVALID
188,52964e4bbdf9203d66ccf877,f000060/008,INVALID
189,52964e4bbdf9203d66ccf878,f000060/009,INVALID
190,52964e4bbdf9203d66ccf879,f000060/010,INVALID
191,52964e4bbdf9203d66ccf87a,f000061/000,INVALID
192,52964e4bbdf9203d66ccf87b,f000062/000,INVALID
193,52964e4bbdf9203d66ccf87c,f000063/001,INVALID
194,52964e4bbdf9203d66ccf87d,f000063/002,INVALID
195,52964e4bbdf9203d66ccf87e,f000063/003,INVALID
196,52964e4bbdf9203d66ccf87f,f000063/004,INVALID
197,52964e4bbdf9203d66ccf880,f000063/005,INVALID
198,52964e4bbdf9203d66ccf881,f000063/006,INVALID
199,52964e4bbdf9203d66ccf882,f000063/007,INVALID
200,52964e4bbdf9203d66ccf883,f000063/008,INVALID
201,52964e4bbdf9203d66ccf884,f000063/009,INVALID
202,52964e4bbdf9203d66ccf885,f000063/010,INVALID
203,52964e4bbdf9203d66ccf886,f000063/012,INVALID
204,52964e4bbdf9203d66ccf887,f000063/013,INVALID
205,52964e4bbdf9203d66ccf888,f000063/014,INVALID
206,52964e4bbdf9203d66ccf889,f000063/015,INVALID
207,52964e4bbdf9203d66ccf88a,f000063/016,INVALID
208,52964e4bbdf9203d66ccf88b,f000063/017,INVALID
209,52964e4bbdf9203d66ccf88c,f000063/018,INVALID
210,52964e4bbdf9203d66ccf88d,f000067/017,INVALID
211,52964e4bbdf9203d66ccf88e,f000068/000,INVALID
212,52964e4bbdf9203d66ccf88f,f000069/000,INVALID
213,52964e4bbdf9203d66ccf890,f000070/000,INVALID
